date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:12	14800/14800	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:12%20GMT	http://www.kanjidamage.com/kanji/13-un-%e4%b8%8d	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/13-un-%e4%b8%8d.html	(from http://www.kanjidamage.com/kanji)
21:08:12	13847/13847	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:12%20GMT	http://www.kanjidamage.com/kanji/14-no-%e5%90%a6	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/14-no-%e5%90%a6.html	(from http://www.kanjidamage.com/kanji)
21:08:13	17110/17110	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:13%20GMT	http://www.kanjidamage.com/kanji/15-ten-%e5%8d%81	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/15-ten-%e5%8d%81.html	(from http://www.kanjidamage.com/kanji)
21:08:14	14463/14463	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:13%20GMT	http://www.kanjidamage.com/kanji/16-old-%e5%8f%a4	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/16-old-%e5%8f%a4.html	(from http://www.kanjidamage.com/kanji)
21:08:14	12004/12004	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:14%20GMT	http://www.kanjidamage.com/kanji/17-dream-come-true-%e5%8f%b6	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/17-dream-come-true-%e5%8f%b6.html	(from http://www.kanjidamage.com/kanji)
21:08:15	15085/15085	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:15%20GMT	http://www.kanjidamage.com/kanji/18-measure-%e8%a8%88	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/18-measure-%e8%a8%88.html	(from http://www.kanjidamage.com/kanji)
21:08:16	11455/11455	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:15%20GMT	http://www.kanjidamage.com/kanji/19-heel	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/19-heel.html	(from http://www.kanjidamage.com/kanji)
21:08:16	1913/1913	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2011:34:03%20GMT	http://www.kanjidamage.com/assets/radREALLYsmall/heel-c5b22f83a6b653f0710eb3ac1d3a1ddd.jpg	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/assets/radREALLYsmall/heel-c5b22f83a6b653f0710eb3ac1d3a1ddd.jpg	(from http://www.kanjidamage.com/kanji)
21:08:17	14900/14900	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:17%20GMT	http://www.kanjidamage.com/kanji/20-seven-%e4%b8%83	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/20-seven-%e4%b8%83.html	(from http://www.kanjidamage.com/kanji)
21:08:17	13378/13378	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Jun%202017%2001:08:17%20GMT	http://www.kanjidamage.com/kanji/21-compare-%e6%af%94	C:/Users/grenz/Downloads/KanjiDamage/www.kanjidamage.com/kanji/21-compare-%e6%af%94.html	(from http://www.kanjidamage.com/kanji)
